"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 08 12:25:14 GMT 2025","Mon Dec 08 12:25:14 GMT 2025","266","Tests","checkout_test","TestCheckout","","","test_checkout[Checkout test 2]",""
"passed","Mon Dec 08 12:25:18 GMT 2025","Mon Dec 08 12:25:18 GMT 2025","270","Tests","checkout_test","TestCheckout","","","test_checkout[Checkout test 4]",""
"passed","Mon Dec 08 12:25:16 GMT 2025","Mon Dec 08 12:25:16 GMT 2025","270","Tests","checkout_test","TestCheckout","","","test_checkout[Checkout test 3]",""
"passed","Mon Dec 08 12:25:19 GMT 2025","Mon Dec 08 12:25:20 GMT 2025","278","Tests","checkout_test","TestCheckout","","","test_checkout[Checkout test 5]",""
"passed","Mon Dec 08 12:25:22 GMT 2025","Mon Dec 08 12:25:23 GMT 2025","579","Tests","login_test","TestLogin","","","test_login[Login test 3]",""
"passed","Mon Dec 08 12:25:21 GMT 2025","Mon Dec 08 12:25:22 GMT 2025","630","Tests","login_test","TestLogin","","","test_login[Login test 2]",""
"passed","Mon Dec 08 12:25:11 GMT 2025","Mon Dec 08 12:25:11 GMT 2025","453","Tests","E2E_full_test","TestFullPurchase","","","Purchase",""
"passed","Mon Dec 08 12:25:25 GMT 2025","Mon Dec 08 12:25:25 GMT 2025","393","Tests","products_test","TestProducts","","","Purchase",""
"passed","Mon Dec 08 12:25:13 GMT 2025","Mon Dec 08 12:25:13 GMT 2025","253","Tests","checkout_test","TestCheckout","","","test_checkout[Checkout test 1]",""
"passed","Mon Dec 08 12:25:20 GMT 2025","Mon Dec 08 12:25:21 GMT 2025","626","Tests","login_test","TestLogin","","","test_login[Login test 1]",""
"passed","Mon Dec 08 12:25:23 GMT 2025","Mon Dec 08 12:25:24 GMT 2025","641","Tests","login_test","TestLogin","","","test_login[Login test 4]",""
